ID;OBJECTTYPE;CG_TYPE;NUMMER;CG_NAAM;PCA;PGO_GEBIED;OBEGINTIJD
2104;contractgebied;BVL;7;Alkmaar;VolkerRail;Hollands Noorderkwartier;2017-02-16
2105;contractgebied;BAAN;7;Alkmaar;VolkerRail;Hollands Noorderkwartier;2017-02-16
2106;contractgebied;BAAN;3;Rotterdam;VolkerRail;Rotterdam;2017-02-16
2107;contractgebied;BASIS;23;Boxtel;BAM Rail;;2013-12-16
2108;contractgebied;BAAN;6;Heerhugowaard;VolkerRail;Hollands Noorderkwartier;2017-02-16
2109;contractgebied;BVL;6;Heerhugowaard;VolkerRail;Hollands Noorderkwartier;2017-02-16
2110;contractgebied;BASIS;3;Rotterdam;VolkerRail;Rotterdam;2016-10-06
2111;contractgebied;BASIS;6;Heerhugowaard;VolkerRail;Hollands Noorderkwartier;2016-10-06
2112;contractgebied;BASIS;7;Alkmaar;VolkerRail;Hollands Noorderkwartier;2016-10-06
2113;contractgebied;BASIS;13;Utrecht;VolkerRail;;2013-12-16
2117;contractgebied;BVL;28;Maas en Waal;ASSET Rail;Gelre;2017-10-23
2114;contractgebied;BASIS;8;Haarlem;Strukton Rail;Kennemerland;2018-04-09
2115;contractgebied;BASIS;30;Achterhoek;ASSET Rail;Gelre;2017-10-23
2116;contractgebied;BASIS;28;Maas en Waal;ASSET Rail;Gelre;2017-10-23
2118;contractgebied;BVL;10;Duivendrecht;Strukton Rail;Amstelsepoort;2018-04-05
2119;contractgebied;BVL;11;Weesp;Strukton Rail;Amstelsepoort;2018-04-05
2123;contractgebied;BASIS;11;Weesp;Strukton Rail;Amstelsepoort;2018-04-05
2120;contractgebied;BAAN;10;Duivendrecht;Strukton Rail;Amstelsepoort;2018-04-05
2121;contractgebied;BAAN;11;Weesp;Strukton Rail;Amstelsepoort;2018-04-05
2122;contractgebied;BASIS;10;Duivendrecht;Strukton Rail;Amstelsepoort;2018-04-05
2124;contractgebied;BASIS;33;Gelderland;Strukton Rail;Veluwe;2017-12-01
2125;contractgebied;BASIS;31;IJsselstreek;Strukton Rail;Veluwe;2017-12-01
2126;contractgebied;BASIS;29;Gelderse Vallei;Strukton Rail;Veluwe;2017-12-01
2127;contractgebied;BAAN;33;Gelderland;Strukton Rail;Veluwe;2017-12-01
2131;contractgebied;BVL;31;IJsselstreek;Strukton Rail;Veluwe;2017-12-01
2128;contractgebied;BAAN;31;IJsselstreek;Strukton Rail;Veluwe;2017-12-01
2129;contractgebied;BAAN;29;Gelderse Vallei;Strukton Rail;Veluwe;2017-12-01
2130;contractgebied;BVL;33;Gelderland;Strukton Rail;Veluwe;2017-12-01
2132;contractgebied;BVL;29;Gelderse Vallei;Strukton Rail;Veluwe;2017-12-01
2133;contractgebied;BAAN;21;Den Bosch;Strukton Rail;Betuwe;2018-04-04
2023;contractgebied;BVL;9;Amsterdam;VolkerRail;Amsterdam;2017-10-02
2020;contractgebied;BAAN;23;Boxtel;BAM Rail;;2012-06-26
2021;contractgebied;BASIS;9;Amsterdam;VolkerRail;Amsterdam;2017-10-02
2022;contractgebied;BAAN;9;Amsterdam;VolkerRail;Amsterdam;2017-10-02
2024;contractgebied;BASIS;36;Friesland;Strukton Rail;Wadden;2016-01-29
2028;contractgebied;BAAN;12;Amersfoort;ASSET Rail;Eemland;2016-03-07
2134;contractgebied;BAAN;22;Geldermalsen;Strukton Rail;Betuwe;2018-04-04
2135;contractgebied;BVL;8;Haarlem;Strukton Rail;Kennemerland;2018-04-06
2025;contractgebied;BAAN;36;Friesland;Strukton Rail;Wadden;2016-01-29
2026;contractgebied;BVL;36;Friesland;Strukton Rail;Wadden;2016-01-29
2027;contractgebied;BASIS;12;Amersfoort;ASSET Rail;Eemland;2016-03-07
2029;contractgebied;BVL;23;Boxtel;BAM Rail;;2012-08-09
2034;contractgebied;BAAN;25;Roermond;Strukton Rail;;2016-04-25
2136;contractgebied;BAAN;8;Haarlem;Strukton Rail;Kennemerland;2018-04-05
2030;contractgebied;BVL;2;Den Haag;BAM Rail;Den Haag;2016-04-18
2031;contractgebied;BASIS;32;Twente;VolkerRail;Twente;2016-04-04
2032;contractgebied;BVL;14;Woerden;VolkerRail;;2016-06-06
2033;contractgebied;BASIS;25;Roermond;Strukton Rail;;2016-04-25
